temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,hour,day_of_week,month,year,is_weekend,day_of_month,week_of_year,is_rush_hour,is_morning_peak,is_evening_peak
287.1,0.0,0.0,1,Clear,sky is clear,2637,21,2,10,2012,0,3,40,0,0,0
286.25,0.0,0.0,1,Clear,sky is clear,1777,22,2,10,2012,0,3,40,0,0,0
285.26,0.0,0.0,1,Clear,sky is clear,1015,23,2,10,2012,0,3,40,0,0,0
284.55,0.0,0.0,1,Clear,sky is clear,598,0,3,10,2012,0,4,40,0,0,0
283.47,0.0,0.0,1,Clear,sky is clear,369,1,3,10,2012,0,4,40,0,0,0
283.17,0.0,0.0,1,Clear,sky is clear,312,2,3,10,2012,0,4,40,0,0,0
282.04,0.0,0.0,1,Clear,sky is clear,367,3,3,10,2012,0,4,40,0,0,0
281.69,0.0,0.0,1,Clear,sky is clear,835,4,3,10,2012,0,4,40,0,0,0
281.32,0.0,0.0,1,Clear,sky is clear,2726,5,3,10,2012,0,4,40,0,0,0
280.74,0.0,0.0,1,Clear,sky is clear,5689,6,3,10,2012,0,4,40,0,0,0
280.57,0.0,0.0,1,Clear,sky is clear,6990,7,3,10,2012,0,4,40,1,1,0
281.86,0.0,0.0,1,Clear,sky is clear,5985,8,3,10,2012,0,4,40,1,1,0
284.98,0.0,0.0,1,Clear,sky is clear,5309,9,3,10,2012,0,4,40,1,1,0
289.18,0.0,0.0,1,Clear,sky is clear,4603,10,3,10,2012,0,4,40,0,0,0
291.55,0.0,0.0,1,Clear,sky is clear,4884,11,3,10,2012,0,4,40,0,0,0
294.97,0.0,0.0,1,Clear,sky is clear,5104,12,3,10,2012,0,4,40,0,0,0
296.38,0.0,0.0,1,Clear,sky is clear,5178,13,3,10,2012,0,4,40,0,0,0
297.32,0.0,0.0,1,Clear,sky is clear,5501,14,3,10,2012,0,4,40,0,0,0
298.17,0.0,0.0,1,Clear,sky is clear,5713,15,3,10,2012,0,4,40,0,0,0
298.06,0.0,0.0,20,Clouds,few clouds,6292,16,3,10,2012,0,4,40,1,0,1
297.67,0.0,0.0,20,Clouds,few clouds,6057,17,3,10,2012,0,4,40,1,0,1
296.36,0.0,0.0,40,Clouds,scattered clouds,4907,18,3,10,2012,0,4,40,1,0,1
293.85,0.0,0.0,40,Clouds,scattered clouds,3503,19,3,10,2012,0,4,40,1,0,1
292.43,0.0,0.0,40,Clouds,scattered clouds,3037,20,3,10,2012,0,4,40,0,0,0
291.77,0.0,0.0,75,Clouds,broken clouds,2822,21,3,10,2012,0,4,40,0,0,0
291.36,0.0,0.0,75,Clouds,broken clouds,1992,22,3,10,2012,0,4,40,0,0,0
291.12,0.0,0.0,75,Clouds,broken clouds,1166,23,3,10,2012,0,4,40,0,0,0
290.63,0.0,0.0,75,Clouds,broken clouds,627,0,4,10,2012,0,5,40,0,0,0
290.46,0.0,0.0,40,Clouds,scattered clouds,388,1,4,10,2012,0,5,40,0,0,0
289.26,0.0,0.0,0,Clear,sky is clear,368,3,4,10,2012,0,5,40,0,0,0
283.21,0.0,0.0,75,Clouds,broken clouds,2489,5,4,10,2012,0,5,40,0,0,0
282.24,0.0,0.0,90,Clouds,overcast clouds,5537,6,4,10,2012,0,5,40,0,0,0
281.69,0.0,0.0,90,Clouds,overcast clouds,6628,7,4,10,2012,0,5,40,1,1,0
280.57,0.0,0.0,90,Clouds,overcast clouds,5534,8,4,10,2012,0,5,40,1,1,0
280.02,0.0,0.0,75,Clouds,broken clouds,5403,9,4,10,2012,0,5,40,1,1,0
280.11,0.0,0.0,75,Clouds,broken clouds,4770,10,4,10,2012,0,5,40,0,0,0
280.0,0.0,0.0,90,Clouds,overcast clouds,5217,11,4,10,2012,0,5,40,0,0,0
280.53,0.0,0.0,90,Clouds,overcast clouds,5870,12,4,10,2012,0,5,40,0,0,0
281.43,0.0,0.0,75,Clouds,broken clouds,5967,13,4,10,2012,0,5,40,0,0,0
281.78,0.0,0.0,90,Clouds,overcast clouds,6108,14,4,10,2012,0,5,40,0,0,0
281.91,0.0,0.0,90,Clouds,overcast clouds,6128,15,4,10,2012,0,5,40,0,0,0
281.73,0.0,0.0,90,Clouds,overcast clouds,6069,16,4,10,2012,0,5,40,1,0,1
281.42,0.0,0.0,90,Clouds,overcast clouds,6169,17,4,10,2012,0,5,40,1,0,1
280.87,0.0,0.0,90,Clouds,overcast clouds,5384,18,4,10,2012,0,5,40,1,0,1
280.15,0.0,0.0,90,Clouds,overcast clouds,4063,19,4,10,2012,0,5,40,1,0,1
279.78,0.0,0.0,90,Clouds,overcast clouds,3364,20,4,10,2012,0,5,40,0,0,0
279.65,0.0,0.0,75,Clouds,broken clouds,2971,21,4,10,2012,0,5,40,0,0,0
279.22,0.0,0.0,40,Clouds,scattered clouds,2450,22,4,10,2012,0,5,40,0,0,0
279.06,0.0,0.0,40,Clouds,scattered clouds,1832,23,4,10,2012,0,5,40,0,0,0
278.81,0.0,0.0,90,Clouds,overcast clouds,1231,0,5,10,2012,1,6,40,0,0,0
278.55,0.0,0.0,90,Clouds,overcast clouds,718,1,5,10,2012,1,6,40,0,0,0
278.59,0.0,0.0,90,Clouds,overcast clouds,545,2,5,10,2012,1,6,40,0,0,0
276.99,0.0,0.0,75,Clouds,broken clouds,411,4,5,10,2012,1,6,40,0,0,0
276.35,0.0,0.0,20,Clouds,few clouds,688,5,5,10,2012,1,6,40,0,0,0
275.4,0.0,0.0,1,Clear,sky is clear,1352,6,5,10,2012,1,6,40,0,0,0
275.17,0.0,0.0,1,Clear,sky is clear,2072,7,5,10,2012,1,6,40,1,1,0
274.99,0.0,0.0,1,Clear,sky is clear,3342,8,5,10,2012,1,6,40,1,1,0
275.09,0.0,0.0,40,Clouds,scattered clouds,4258,9,5,10,2012,1,6,40,1,1,0
276.88,0.0,0.0,20,Clouds,few clouds,4861,10,5,10,2012,1,6,40,0,0,0
278.04,0.0,0.0,20,Clouds,few clouds,5191,11,5,10,2012,1,6,40,0,0,0
279.08,0.0,0.0,40,Clouds,scattered clouds,5669,12,5,10,2012,1,6,40,0,0,0
280.12,0.0,0.0,75,Clouds,broken clouds,5074,13,5,10,2012,1,6,40,0,0,0
280.25,0.0,0.0,75,Clouds,broken clouds,5025,14,5,10,2012,1,6,40,0,0,0
280.0,0.0,0.0,75,Clouds,broken clouds,5153,15,5,10,2012,1,6,40,0,0,0
279.06,0.0,0.0,90,Clouds,overcast clouds,5024,16,5,10,2012,1,6,40,1,0,1
278.91,0.0,0.0,90,Clouds,overcast clouds,4779,17,5,10,2012,1,6,40,1,0,1
278.39,0.0,0.0,90,Clouds,overcast clouds,4362,18,5,10,2012,1,6,40,1,0,1
278.16,0.0,0.0,90,Clouds,overcast clouds,3860,19,5,10,2012,1,6,40,1,0,1
278.16,0.0,0.0,90,Clouds,overcast clouds,3160,20,5,10,2012,1,6,40,0,0,0
277.93,0.0,0.0,90,Clouds,overcast clouds,2992,21,5,10,2012,1,6,40,0,0,0
276.9,0.0,0.0,90,Clouds,overcast clouds,3202,22,5,10,2012,1,6,40,0,0,0
276.34,0.0,0.0,75,Clouds,broken clouds,1941,23,5,10,2012,1,6,40,0,0,0
276.11,0.0,0.0,75,Clouds,broken clouds,1233,0,6,10,2012,1,7,40,0,0,0
275.73,0.0,0.0,90,Clouds,overcast clouds,323,3,6,10,2012,1,7,40,0,0,0
275.65,0.0,0.0,90,Clouds,overcast clouds,312,4,6,10,2012,1,7,40,0,0,0
275.51,0.0,0.0,75,Clouds,broken clouds,627,5,6,10,2012,1,7,40,0,0,0
275.05,0.0,0.0,90,Clouds,overcast clouds,1508,6,6,10,2012,1,7,40,0,0,0
274.77,0.0,0.0,90,Clouds,overcast clouds,1539,7,6,10,2012,1,7,40,1,1,0
274.77,0.0,0.0,75,Clouds,broken clouds,2232,8,6,10,2012,1,7,40,1,1,0
275.55,0.0,0.0,75,Clouds,broken clouds,4568,9,6,10,2012,1,7,40,1,1,0
276.24,0.0,0.0,75,Clouds,broken clouds,4624,10,6,10,2012,1,7,40,0,0,0
277.01,0.0,0.0,90,Clouds,overcast clouds,4529,11,6,10,2012,1,7,40,0,0,0
277.43,0.0,0.0,90,Clouds,overcast clouds,5139,12,6,10,2012,1,7,40,0,0,0
278.45,0.0,0.0,90,Clouds,overcast clouds,6640,13,6,10,2012,1,7,40,0,0,0
279.27,0.0,0.0,90,Clouds,overcast clouds,6589,14,6,10,2012,1,7,40,0,0,0
279.27,0.0,0.0,90,Clouds,overcast clouds,4429,15,6,10,2012,1,7,40,0,0,0
279.44,0.0,0.0,90,Clouds,overcast clouds,4329,16,6,10,2012,1,7,40,1,0,1
279.32,0.0,0.0,90,Clouds,overcast clouds,3833,17,6,10,2012,1,7,40,1,0,1
279.27,0.0,0.0,90,Clouds,overcast clouds,4015,18,6,10,2012,1,7,40,1,0,1
278.11,0.0,0.0,90,Clouds,overcast clouds,3382,19,6,10,2012,1,7,40,1,0,1
276.79,0.0,0.0,75,Clouds,broken clouds,2815,20,6,10,2012,1,7,40,0,0,0
275.73,0.0,0.0,90,Clouds,overcast clouds,2110,21,6,10,2012,1,7,40,0,0,0
274.88,0.0,0.0,75,Clouds,broken clouds,1555,22,6,10,2012,1,7,40,0,0,0
273.92,0.0,0.0,20,Clouds,few clouds,959,23,6,10,2012,1,7,40,0,0,0
273.08,0.0,0.0,20,Clouds,few clouds,455,0,0,10,2012,0,8,41,0,0,0
272.62,0.0,0.0,20,Clouds,few clouds,336,1,0,10,2012,0,8,41,0,0,0
271.78,0.0,0.0,1,Clear,sky is clear,265,2,0,10,2012,0,8,41,0,0,0
271.05,0.0,0.0,1,Clear,sky is clear,314,3,0,10,2012,0,8,41,0,0,0
270.63,0.0,0.0,1,Clear,sky is clear,779,4,0,10,2012,0,8,41,0,0,0
270.33,0.0,0.0,1,Clear,sky is clear,2571,5,0,10,2012,0,8,41,0,0,0
269.61,0.0,0.0,20,Clouds,few clouds,5563,6,0,10,2012,0,8,41,0,0,0
270.01,0.0,0.0,20,Clouds,few clouds,6676,7,0,10,2012,0,8,41,1,1,0
271.23,0.0,0.0,20,Clouds,few clouds,5966,8,0,10,2012,0,8,41,1,1,0
273.71,0.0,0.0,20,Clouds,few clouds,4832,9,0,10,2012,0,8,41,1,1,0
276.77,0.0,0.0,20,Clouds,few clouds,4395,10,0,10,2012,0,8,41,0,0,0
279.47,0.0,0.0,20,Clouds,few clouds,4411,11,0,10,2012,0,8,41,0,0,0
279.84,0.0,0.0,1,Clear,sky is clear,4648,12,0,10,2012,0,8,41,0,0,0
282.34,0.0,0.0,40,Clouds,scattered clouds,4602,13,0,10,2012,0,8,41,0,0,0
282.94,0.0,0.0,40,Clouds,scattered clouds,5125,14,0,10,2012,0,8,41,0,0,0
283.48,0.0,0.0,1,Clear,sky is clear,5502,15,0,10,2012,0,8,41,0,0,0
284.33,0.0,0.0,1,Clear,sky is clear,5979,16,0,10,2012,0,8,41,1,0,1
284.48,0.0,0.0,40,Clouds,scattered clouds,5663,17,0,10,2012,0,8,41,1,0,1
284.23,0.0,0.0,40,Clouds,scattered clouds,4259,18,0,10,2012,0,8,41,1,0,1
281.99,0.0,0.0,20,Clouds,few clouds,3069,19,0,10,2012,0,8,41,1,0,1
279.81,0.0,0.0,1,Clear,sky is clear,2378,20,0,10,2012,0,8,41,0,0,0
279.35,0.0,0.0,1,Clear,sky is clear,2030,21,0,10,2012,0,8,41,0,0,0
278.9,0.0,0.0,1,Clear,sky is clear,1400,22,0,10,2012,0,8,41,0,0,0
278.46,0.0,0.0,1,Clear,sky is clear,917,23,0,10,2012,0,8,41,0,0,0
277.78,0.0,0.0,1,Clear,sky is clear,515,0,1,10,2012,0,9,41,0,0,0
277.27,0.0,0.0,1,Clear,sky is clear,302,1,1,10,2012,0,9,41,0,0,0
277.47,0.0,0.0,1,Clear,sky is clear,251,2,1,10,2012,0,9,41,0,0,0
276.97,0.0,0.0,20,Clouds,few clouds,798,4,1,10,2012,0,9,41,0,0,0
276.52,0.0,0.0,40,Clouds,scattered clouds,2678,5,1,10,2012,0,9,41,0,0,0
276.6,0.0,0.0,40,Clouds,scattered clouds,5733,6,1,10,2012,0,9,41,0,0,0
277.31,0.0,0.0,75,Clouds,broken clouds,6449,7,1,10,2012,0,9,41,1,1,0
278.38,0.0,0.0,90,Clouds,overcast clouds,5765,8,1,10,2012,0,9,41,1,1,0
279.35,0.0,0.0,90,Clouds,overcast clouds,5599,9,1,10,2012,0,9,41,1,1,0
281.37,0.0,0.0,90,Clouds,overcast clouds,4534,10,1,10,2012,0,9,41,0,0,0
283.11,0.0,0.0,90,Clouds,overcast clouds,4691,11,1,10,2012,0,9,41,0,0,0
284.08,0.0,0.0,75,Clouds,broken clouds,5067,12,1,10,2012,0,9,41,0,0,0
285.14,0.0,0.0,75,Clouds,broken clouds,5030,13,1,10,2012,0,9,41,0,0,0
286.35,0.0,0.0,90,Clouds,overcast clouds,5300,14,1,10,2012,0,9,41,0,0,0
287.23,0.0,0.0,100,Rain,light rain,5777,15,1,10,2012,0,9,41,0,0,0
288.53,0.0,0.0,90,Clouds,overcast clouds,6349,16,1,10,2012,0,9,41,1,0,1
290.37,0.0,0.0,90,Clouds,overcast clouds,6127,17,1,10,2012,0,9,41,1,0,1
290.13,0.0,0.0,90,Clouds,overcast clouds,4460,18,1,10,2012,0,9,41,1,0,1
288.86,0.0,0.0,75,Clouds,broken clouds,3418,19,1,10,2012,0,9,41,1,0,1
287.36,0.0,0.0,90,Clouds,overcast clouds,2775,20,1,10,2012,0,9,41,0,0,0
285.11,0.0,0.0,90,Clouds,overcast clouds,2306,21,1,10,2012,0,9,41,0,0,0
283.46,0.0,0.0,90,Clouds,overcast clouds,1846,22,1,10,2012,0,9,41,0,0,0
282.45,0.0,0.0,90,Clouds,overcast clouds,947,23,1,10,2012,0,9,41,0,0,0
281.88,0.0,0.0,90,Clouds,overcast clouds,494,0,2,10,2012,0,10,41,0,0,0
281.78,0.0,0.0,90,Clouds,overcast clouds,332,1,2,10,2012,0,10,41,0,0,0
281.09,0.0,0.0,75,Clouds,broken clouds,261,2,2,10,2012,0,10,41,0,0,0
281.17,0.0,0.0,90,Clouds,overcast clouds,361,3,2,10,2012,0,10,41,0,0,0
281.25,0.0,0.0,92,Clear,sky is clear,5875,6,2,10,2012,0,10,41,0,0,0
281.25,0.0,0.0,99,Rain,light rain,6793,7,2,10,2012,0,10,41,1,1,0
281.25,0.0,0.0,99,Drizzle,light intensity drizzle,6793,7,2,10,2012,0,10,41,1,1,0
280.1,0.0,0.0,99,Rain,light rain,6283,8,2,10,2012,0,10,41,1,1,0
280.1,0.0,0.0,99,Drizzle,light intensity drizzle,6283,8,2,10,2012,0,10,41,1,1,0
279.61,0.0,0.0,99,Rain,light rain,5680,9,2,10,2012,0,10,41,1,1,0
279.61,0.0,0.0,99,Drizzle,light intensity drizzle,5680,9,2,10,2012,0,10,41,1,1,0
279.67,0.0,0.0,99,Clear,sky is clear,4632,10,2,10,2012,0,10,41,0,0,0
280.19,0.0,0.0,1,Clear,sky is clear,4887,11,2,10,2012,0,10,41,0,0,0
282.09,0.0,0.0,75,Clouds,broken clouds,5030,12,2,10,2012,0,10,41,0,0,0
282.26,0.0,0.0,75,Clouds,broken clouds,5067,13,2,10,2012,0,10,41,0,0,0
282.05,0.0,0.0,90,Clouds,overcast clouds,5227,14,2,10,2012,0,10,41,0,0,0
281.59,0.0,0.0,90,Clouds,overcast clouds,5610,15,2,10,2012,0,10,41,0,0,0
281.23,0.0,0.0,81,Clear,sky is clear,6286,16,2,10,2012,0,10,41,1,0,1
282.6,0.0,0.0,81,Clear,sky is clear,4775,18,2,10,2012,0,10,41,1,0,1
282.6,0.0,0.0,81,Clear,sky is clear,3340,19,2,10,2012,0,10,41,1,0,1
282.6,0.0,0.0,81,Clear,sky is clear,3013,20,2,10,2012,0,10,41,0,0,0
282.6,0.0,0.0,81,Clear,sky is clear,2603,21,2,10,2012,0,10,41,0,0,0
282.6,0.0,0.0,81,Clear,sky is clear,1910,22,2,10,2012,0,10,41,0,0,0
282.6,0.0,0.0,81,Clear,sky is clear,1037,23,2,10,2012,0,10,41,0,0,0
273.9,0.0,0.0,1,Clear,sky is clear,347,1,3,10,2012,0,11,41,0,0,0
274.4,0.0,0.0,75,Clouds,broken clouds,350,3,3,10,2012,0,11,41,0,0,0
274.05,0.0,0.0,75,Clouds,broken clouds,850,4,3,10,2012,0,11,41,0,0,0
273.71,0.0,0.0,40,Clouds,scattered clouds,2791,5,3,10,2012,0,11,41,0,0,0
272.66,0.0,0.0,1,Clear,sky is clear,5809,6,3,10,2012,0,11,41,0,0,0
272.65,0.0,0.0,1,Clear,sky is clear,6798,7,3,10,2012,0,11,41,1,1,0
272.52,0.0,0.0,1,Clear,sky is clear,6304,8,3,10,2012,0,11,41,1,1,0
275.19,0.0,0.0,20,Clouds,few clouds,5291,9,3,10,2012,0,11,41,1,1,0
275.34,0.0,0.0,1,Clear,sky is clear,4638,10,3,10,2012,0,11,41,0,0,0
284.1,0.0,0.0,50,Clear,sky is clear,5557,14,3,10,2012,0,11,41,0,0,0
284.1,0.0,0.0,50,Clear,sky is clear,5818,15,3,10,2012,0,11,41,0,0,0
283.78,0.0,0.0,75,Clouds,broken clouds,6272,16,3,10,2012,0,11,41,1,0,1
283.52,0.0,0.0,75,Clouds,broken clouds,5944,17,3,10,2012,0,11,41,1,0,1
283.32,0.0,0.0,90,Clouds,overcast clouds,4949,18,3,10,2012,0,11,41,1,0,1
282.06,0.0,0.0,90,Clouds,overcast clouds,3511,19,3,10,2012,0,11,41,1,0,1
281.95,0.0,0.0,90,Clouds,overcast clouds,3039,20,3,10,2012,0,11,41,0,0,0
281.81,0.0,0.0,90,Clouds,overcast clouds,2679,21,3,10,2012,0,11,41,0,0,0
282.16,0.0,0.0,90,Clouds,overcast clouds,2094,22,3,10,2012,0,11,41,0,0,0
282.53,0.0,0.0,90,Clouds,overcast clouds,1284,23,3,10,2012,0,11,41,0,0,0
283.91,0.0,0.0,90,Clouds,overcast clouds,630,0,4,10,2012,0,12,41,0,0,0
284.64,0.0,0.0,90,Clouds,overcast clouds,410,1,4,10,2012,0,12,41,0,0,0
284.61,0.0,0.0,90,Clouds,overcast clouds,331,2,4,10,2012,0,12,41,0,0,0
283.18,0.0,0.0,72,Drizzle,light intensity drizzle,372,3,4,10,2012,0,12,41,0,0,0
282.26,0.0,0.0,72,Rain,light rain,739,4,4,10,2012,0,12,41,0,0,0
280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2561,5,4,10,2012,0,12,41,0,0,0
278.53,0.0,0.0,75,Clouds,broken clouds,5586,6,4,10,2012,0,12,41,0,0,0
277.64,0.0,0.0,75,Clouds,broken clouds,6992,7,4,10,2012,0,12,41,1,1,0
277.9,0.0,0.0,90,Clouds,overcast clouds,5860,8,4,10,2012,0,12,41,1,1,0
278.18,0.0,0.0,90,Clouds,overcast clouds,5230,9,4,10,2012,0,12,41,1,1,0
279.29,0.0,0.0,75,Clouds,broken clouds,4864,10,4,10,2012,0,12,41,0,0,0
280.45,0.0,0.0,75,Clouds,broken clouds,5146,11,4,10,2012,0,12,41,0,0,0
280.95,0.0,0.0,40,Clouds,scattered clouds,5526,12,4,10,2012,0,12,41,0,0,0
281.74,0.0,0.0,40,Clouds,scattered clouds,5383,13,4,10,2012,0,12,41,0,0,0
281.84,0.0,0.0,75,Clouds,broken clouds,5758,14,4,10,2012,0,12,41,0,0,0
282.45,0.0,0.0,75,Clouds,broken clouds,5889,15,4,10,2012,0,12,41,0,0,0
282.2,0.0,0.0,75,Clouds,broken clouds,6057,16,4,10,2012,0,12,41,1,0,1
281.54,0.0,0.0,40,Clouds,scattered clouds,6028,17,4,10,2012,0,12,41,1,0,1
280.21,0.0,0.0,20,Clouds,few clouds,5257,18,4,10,2012,0,12,41,1,0,1
282.2,0.0,0.0,56,Clear,sky is clear,1897,23,4,10,2012,0,12,41,0,0,0
272.58,0.0,0.0,1,Clear,sky is clear,1335,0,5,10,2012,1,13,41,0,0,0
272.06,0.0,0.0,1,Clear,sky is clear,769,1,5,10,2012,1,13,41,0,0,0
270.99,0.0,0.0,1,Clear,sky is clear,570,2,5,10,2012,1,13,41,0,0,0
270.29,0.0,0.0,20,Clouds,few clouds,413,3,5,10,2012,1,13,41,0,0,0
269.48,0.0,0.0,1,Clear,sky is clear,399,4,5,10,2012,1,13,41,0,0,0
269.27,0.0,0.0,1,Clear,sky is clear,740,5,5,10,2012,1,13,41,0,0,0
268.91,0.0,0.0,1,Clear,sky is clear,1420,6,5,10,2012,1,13,41,0,0,0
268.98,0.0,0.0,75,Clouds,broken clouds,2220,7,5,10,2012,1,13,41,1,1,0
269.23,0.0,0.0,40,Clouds,scattered clouds,3479,8,5,10,2012,1,13,41,1,1,0
272.61,0.0,0.0,40,Clouds,scattered clouds,4546,9,5,10,2012,1,13,41,1,1,0
276.78,0.0,0.0,20,Clouds,few clouds,4579,10,5,10,2012,1,13,41,0,0,0
279.22,0.0,0.0,1,Clear,sky is clear,4438,11,5,10,2012,1,13,41,0,0,0
280.35,0.0,0.0,1,Clear,sky is clear,4623,12,5,10,2012,1,13,41,0,0,0
281.81,0.0,0.0,1,Clear,sky is clear,4440,13,5,10,2012,1,13,41,0,0,0
283.05,0.0,0.0,1,Clear,sky is clear,4495,14,5,10,2012,1,13,41,0,0,0
283.96,0.0,0.0,1,Clear,sky is clear,4483,15,5,10,2012,1,13,41,0,0,0
284.53,0.0,0.0,1,Clear,sky is clear,4591,16,5,10,2012,1,13,41,1,0,1
284.44,0.0,0.0,1,Clear,sky is clear,4477,17,5,10,2012,1,13,41,1,0,1
283.64,0.0,0.0,1,Clear,sky is clear,4221,18,5,10,2012,1,13,41,1,0,1
281.85,0.0,0.0,20,Clouds,few clouds,3672,19,5,10,2012,1,13,41,1,0,1
281.38,0.0,0.0,1,Clear,sky is clear,3015,20,5,10,2012,1,13,41,0,0,0
281.84,0.0,0.0,75,Clouds,broken clouds,2769,21,5,10,2012,1,13,41,0,0,0
282.23,0.0,0.0,90,Clouds,overcast clouds,2875,22,5,10,2012,1,13,41,0,0,0
282.18,0.0,0.0,90,Clouds,overcast clouds,1931,23,5,10,2012,1,13,41,0,0,0
282.49,0.0,0.0,90,Clouds,overcast clouds,1309,0,6,10,2012,1,14,41,0,0,0
282.54,0.0,0.0,90,Clouds,overcast clouds,870,1,6,10,2012,1,14,41,0,0,0
282.58,0.0,0.0,90,Clouds,overcast clouds,654,2,6,10,2012,1,14,41,0,0,0
282.23,0.0,0.0,90,Clouds,overcast clouds,364,3,6,10,2012,1,14,41,0,0,0
282.08,0.0,0.0,90,Clouds,overcast clouds,262,4,6,10,2012,1,14,41,0,0,0
282.23,0.0,0.0,90,Clouds,overcast clouds,505,5,6,10,2012,1,14,41,0,0,0
282.24,0.0,0.0,90,Clouds,overcast clouds,861,6,6,10,2012,1,14,41,0,0,0
282.24,0.0,0.0,90,Clouds,overcast clouds,1132,7,6,10,2012,1,14,41,1,1,0
282.24,0.0,0.0,57,Mist,mist,1797,8,6,10,2012,1,14,41,1,1,0
282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2685,9,6,10,2012,1,14,41,1,1,0
282.43,0.0,0.0,57,Mist,mist,2685,9,6,10,2012,1,14,41,1,1,0
282.43,0.0,0.0,57,Haze,haze,2685,9,6,10,2012,1,14,41,1,1,0
282.33,0.0,0.0,57,Drizzle,light intensity drizzle,3370,10,6,10,2012,1,14,41,0,0,0
282.33,0.0,0.0,57,Mist,mist,3370,10,6,10,2012,1,14,41,0,0,0
282.82,0.0,0.0,57,Drizzle,light intensity drizzle,3662,11,6,10,2012,1,14,41,0,0,0
282.82,0.0,0.0,57,Mist,mist,3662,11,6,10,2012,1,14,41,0,0,0
283.33,0.0,0.0,57,Mist,mist,4076,12,6,10,2012,1,14,41,0,0,0
283.33,0.0,0.0,57,Rain,light rain,4076,12,6,10,2012,1,14,41,0,0,0
283.33,0.0,0.0,57,Drizzle,light intensity drizzle,4076,12,6,10,2012,1,14,41,0,0,0
283.75,0.0,0.0,93,Rain,light rain,4128,13,6,10,2012,1,14,41,0,0,0
283.75,0.0,0.0,93,Mist,mist,4128,13,6,10,2012,1,14,41,0,0,0
283.75,0.0,0.0,93,Drizzle,light intensity drizzle,4128,13,6,10,2012,1,14,41,0,0,0
284.09,0.0,0.0,93,Mist,mist,4358,14,6,10,2012,1,14,41,0,0,0
